idx,time,sam_commit_name,pytorch_version,sam_model_type,batch_size,memory(MiB),memory(%),img_s(avg),mIoU,use_compile,use_half,compress,epilogue_fusion_first,use_half_decoder,use_compile_decoder,use_nested_tensor,use_rel_pos,pad_input_image_batch,num_workers,num_batches,num_images,profile_path
010,14.6892413854599,default,2.2.0a0+gitf54e8d5,vit_b,1,2789,3,5.689545295326516,0.5335527661112637,False,False,None,False,False,False,False,True,True,0,4951,4951,None
011,8.649564909934998,default,2.2.0a0+gitf54e8d5,vit_b,1,2789,3,9.838985601776821,0.5335527661112637,False,False,None,False,False,False,False,True,True,32,4951,4951,None
012,8.70403657356898,default,2.2.0a0+gitf54e8d5,vit_b,20,49453,61,10.366779746786886,0.5335527661112637,False,False,None,False,False,False,False,True,True,32,249,4932,None
013,8.437765947977702,default,2.2.0a0+gitf54e8d5,vit_b,20,39237,48,11.469609067898046,0.5335542110330412,max-autotune,False,None,False,False,False,False,True,True,32,249,4932,None
014,8.43627171119054,graphbreaks,2.2.0a0+gitf54e8d5,vit_b,20,39112,48,11.45563688046714,0.5335542110330412,max-autotune,False,None,False,False,False,False,True,True,32,249,4932,None
016,8.306121412913004,codesign,2.2.0a0+gitf54e8d5,vit_b,20,39112,48,11.623916969243949,0.5335542110330412,max-autotune,False,None,False,False,False,False,True,True,32,249,4932,None
017,3.0542587359746296,codesign,2.2.0a0+gitf54e8d5,vit_b,20,19581,24,42.11992465202803,0.5341064946904616,max-autotune,True,None,False,True,False,False,True,True,32,249,4932,None
017,4.001599276065827,codesign,2.2.0a0+gitf54e8d5,vit_b,60,58411,72,35.28598380960782,0.5341064946904616,max-autotune,True,None,False,True,False,False,True,True,32,83,4894,None
018,3.649456218878428,sdpa,2.2.0a0+gitf54e8d5,vit_b,60,34133,42,43.042205660186916,0.5338931130463048,max-autotune,True,None,False,True,False,False,True,True,32,83,4894,None
018,3.439772590001424,sdpa-decoder,2.2.0a0+gitf54e8d5,vit_b,60,34133,42,38.18860647724688,0.5335723273060813,max-autotune,True,None,False,True,False,False,True,True,32,83,4894,None
019,3.789278550942739,sdpa-decoder,2.2.0a0+gitf54e8d5,vit_b,60,39929,49,44.00696376031817,0.5344538899669041,max-autotune-no-cudagraphs,True,dynamic_quant,False,True,False,False,True,True,32,83,4894,None
020,3.830922253926595,sdpa-decoder,2.2.0a0+gitf54e8d5,vit_b,60,39764,49,45.06439512664685,0.5344538899669041,max-autotune,True,dynamic_quant,False,True,False,False,True,True,32,83,4894,None
